test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000023	XLOC_000023	uc001ada.3,uc001adb.3,uc001adc.3,uc001add.3	chr1:1138887-1142089	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000024	XLOC_000024	uc001ade.3,uc001adf.3	chr1:1146705-1149548	WildType	KnockDown	NOTEST	0	60.0732	inf	0	1	1	no
XLOC_000025	XLOC_000025	uc001adg.3,uc001adh.4,uc001adi.4,uc001adj.1,uc009vjw.3	chr1:1152287-1167447	WildType	KnockDown	OK	105352	124504	0.240971	3.88209	5e-05	9.44444e-05	yes
XLOC_000026	XLOC_000026	uc001adl.2	chr1:1177825-1182102	WildType	KnockDown	NOTEST	223.415	176.478	-0.340242	0	1	1	no
XLOC_000027	XLOC_000027	uc001adm.4,uc001ado.3,uc001adp.3,uc001adq.3,uc001adr.3	chr1:1189291-1209234	WildType	KnockDown	OK	24766	28052.1	0.179747	1.49563	0.00725	0.0102708	yes
XLOC_000028	XLOC_000028	uc001ady.2,uc001aea.2,uc001aeb.2,uc001aec.1	chr1:1227763-1260067	WildType	KnockDown	OK	10839.4	15423.3	0.508824	2.6014	5e-05	9.44444e-05	yes
XLOC_000029	XLOC_000029	uc001aee.2,uc001aef.2,uc001aeg.2,uc001aeh.2,uc001aei.2,uc001aek.2,uc001ael.3,uc001aen.2,uc009vjy.1,uc009vjz.2,uc010nyj.2	chr1:1227763-1260067	WildType	KnockDown	OK	21793.5	16797.2	-0.375679	-1.85017	0.0009	0.00139091	yes
XLOC_000030	XLOC_000030	uc001aer.4,uc002quu.3,uc009vka.3	chr1:1270657-1284506	WildType	KnockDown	OK	19027.7	14992.9	-0.343815	-2.34399	5e-05	9.44444e-05	yes
XLOC_000031	XLOC_000031	uc001aew.3,uc001aex.4,uc001aey.4,uc001aez.3,uc001afa.3	chr1:1288070-1297157	WildType	KnockDown	OK	103308	134793	0.383786	6.46588	5e-05	9.44444e-05	yes
XLOC_000032	XLOC_000032	uc001afb.1,uc001afc.2,uc001afd.2,uc009vkb.1	chr1:1309109-1310818	WildType	KnockDown	OK	72804.3	65414.2	-0.15442	-1.12806	0.04955	0.0647962	no
XLOC_000033	XLOC_000033	uc001aff.1,uc001afg.1,uc001afi.2,uc001afj.2,uc010nym.1,uc021oep.1	chr1:1321090-1334718	WildType	KnockDown	OK	18976.4	25003.6	0.397929	3.11706	5e-05	9.44444e-05	yes
XLOC_000034	XLOC_000034	uc001afo.4,uc010nyn.1	chr1:1334909-1342693	WildType	KnockDown	OK	65410.1	52877.5	-0.306859	-1.93632	0.0007	0.00119	yes
XLOC_000035	XLOC_000035	uc001afp.3,uc001afq.3,uc010nyo.2	chr1:1353799-1356824	WildType	KnockDown	NOTEST	34.4593	0	-inf	0	1	1	no
XLOC_000036	XLOC_000036	uc009vkf.3	chr1:1470157-1475740	WildType	KnockDown	NOTEST	1381.84	1900.87	0.460068	0	1	1	no
XLOC_000037	XLOC_000037	uc001agd.3,uc001age.1,uc009vkg.1	chr1:1477052-1510262	WildType	KnockDown	OK	61027.1	62465.8	0.0336172	0.381181	0.55735	0.676782	no
XLOC_000038	XLOC_000038	-	chr1:1343781-1344638	WildType	KnockDown	NOTEST	884.551	1381.17	0.642871	0	1	1	no
